NombreProducto,FechaMovimiento,MontoBase,year
POLLO SIN MENUDENCIA H-C,2018-12-03,20.826,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,19.847,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,21.449,2018
POLLO SIN MENUDENCIA H-C,2018-12-04,19.58,2018
POLLO SIN MENUDENCIA H-C,2018-12-04,159.933,2018
POLLO SIN MENUDENCIA H-C,2018-12-04,84.72800000000001,2018
POLLO SIN MENUDENCIA H-C,2018-12-04,19.758,2018
POLLO SIN MENUDENCIA H-C,2018-12-04,43.343,2018
POLLO SIN MENUDENCIA H-C,2018-12-04,152.54600000000002,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,22.784,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,22.428,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,20.737,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,21.538,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,21.004,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,20.648,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,20.292,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,20.025,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,20.826,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,20.648,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-12-06,44.411,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,112.14,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,46.814,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,65.50399999999999,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,22.428,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,24.119000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,24.92,2018
POLLO SIN MENUDENCIA H-C,2018-12-07,42.275,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,226.683,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,234.693,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,22.606,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,67.818,2018
POLLO SIN MENUDENCIA H-C,2018-12-08,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,25.365,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,25.632,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,25.365,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,26.077,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,25.454,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,25.454,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,100.214,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,26.878,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,51.798,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,20.47,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,26.878,2018
POLLO SIN MENUDENCIA H-C,2018-12-09,11.036,2018
POLLO SIN MENUDENCIA H-C,2018-12-10,46.547,2018
POLLO SIN MENUDENCIA H-C,2018-12-10,23.14,2018
POLLO SIN MENUDENCIA H-C,2018-12-10,45.746,2018
POLLO SIN MENUDENCIA H-C,2018-12-10,22.784,2018
POLLO SIN MENUDENCIA H-C,2018-12-11,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-12-11,23.318,2018
POLLO SIN MENUDENCIA H-C,2018-12-11,115.077,2018
POLLO SIN MENUDENCIA H-C,2018-12-11,24.119000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,24.386,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,22.161,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,24.475,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,338.111,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,72.535,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,67.373,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,24.386,2018
POLLO SIN MENUDENCIA H-C,2018-12-12,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,27.412000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,26.433,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,23.407,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,26.7,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,44.055,2018
